skola	nazov	mesto	ulica	aj_n	aj_z
667251	Súkromná stredná odborná škola pedagogická EBG	Žiar nad Hronom	Námestie Matice slovenskej 23	19	2.4
668120	Stredná odborná škola technická	Lučenec	Dukl. hrdinov 2	52	3.3
668150	Súkromná stredná odborná škola technická	Žiar nad Hronom	Ul. Dr. Janského 10	38	3.4
668301	Spojená škola - Stredná odborná škola elektrotechnická	Banská Bystrica	Zvolenská cesta 18	42	2.8
668433	Stredná priemyselná škola dopravná	Zvolen	Sokolska 911/94	61	3
668801	Spojená škola - Stredná odborná škola automobilová	Banská Bystrica	Školská 7	20	3.7
668940	Technická akadémia	Zvolen	J. Švermu 1	38	2.2
671502	Stredná zdravotnícka škola	Humenné	Lipová 32	37	2.6
671506	Stredná zdravotnícka škola Štefana Kluberta	Levoča	Kláštorská 24 A	24	3.6
671510	Stredná zdavotnícka škola	Poprad	Levočská 5	38	2.4
671513	Stredná zdravotnícka škola sv. Bazila Veľkého	Prešov	Kmeťovo stromoradie 1	39	2.7
671514	Stredná zdravotnícka škola	Prešov	Sládkovičova 36	125	2.6
671522	Stredná zdravotnícka škola milosrdného Samaritána	Svidník	Sovietskych hrdinov 80	3	2.3
672099	Súkromné konzervatórium Dezidera Kardoša	Prešov	M. Benku 7	8	2.8
672507	Stredná umelecká škola	Prešov	Vodárenská 3	29	1.9
672509	Stredná umelecká škola	Kežmarok	Slavkovská cesta 19	13	2.9
673001	Súkromná stredná odborná škola	Bardejov	Hviezdoslavova 11	24	2.9
673004	Stredná odborná škola	Kežmarok	Kušnierska brána 349/2	31	3.2
673012	Stredná odborná škola	Kežmarok	Garbiarska 1	30	2.9
673016	Spojená škola internátna - Stredná odborná škola pre žiakov so ZP internátna	Levoča	Námestie Štefana Kluberta 1	1	—
673017	Spojená škola - Stredná odborná škola lesnícka	Bijacovce	č. 1	10	2.9
673018	Stredná odborná škola Majstra Pavla	Levoča	Kukučínova 9	17	2.8
673021	Stredná odborná škola Andyho Warhola	Medzilaborce	Duchnovičova 506	16	3.1
673026	Súkromná stredná odborná škola	Poprad	Ul. 29. augusta 4812	99	1.9
673027	Stredná odborná škola	Poprad	Okružná 761/25	39	3.5
673028	Stredná odborná škola	Svit	Štefánikova 39	29	3.2
673029	Stredná odborná škola	Vysoké Tatry	Horný Smokovec 26	27	2.6
673030	Súkromná stredná odborná škola	Poprad	SNP 1253	42	3.3
673034	Súkromná stredná odborná škola - ELBA	Prešov	Smetanova 2	20	3.2
673037	Stredná odborná škola	Prešov	Košická 20	43	3.2
673039	Súkromná stredná odborná škola	Prešov	Pod Kalváriou 36	49	2.7
673043	Spojená škola - Stredná odborná škola	Sabinov	SNP 16	32	3.3
673044	Stredná odborná škola	Lipany	Komenského 16	16	2.2
673046	Stredná odborná škola	Snina	Sladkovičova 2723	9	3.2
673051	Stredná odborná škola sv. Klementa Hofbauera	Podolínec	Kláštorná 2	5	4
673052	Stredná odborná škola	Stará Ľubovňa	Jarmočná 108	41	2.9
673061	Súkromná stredná odborná škola	Giraltovce	Dukelská 33	11	3
673062	Stredná odborná škola arm. gen. L. Svobodu	Svidník	Bardejovská 715/18	26	2.5
673068	Stredná odborná škola	Vranov nad Topľou	A. Dubčeka 963/2	45	3
673071	Stredná odborná škola	Humenné	Mierová 1973/79	34	2.8
673207	Stredná priemyselná škola strojnícka	Prešov	Duklianska 1	89	3.1
673611	Stredná priemyselná škola	Svidník	Sovietskych hrdinov 369/24	12	2.7
673707	Stredná odborná škola drevárska	Vranov nad Topľou	Lúčna 1055	70	3.5
674007	Stredná priemyselná škola stavebná	Prešov	Plzenská 10	71	2.6
674501	Stredná priemyselná škola	Bardejov	Komenského 5	54	1.8
674511	Stredná priemyselná škola	Poprad	Mnoheľova 828	122	2.9
674520	Stredná priemyselná škola	Prešov	Bardejovská 24	11	3.3
674522	Stredná priemyselná škola	Snina	Partizánska 1059/23	45	3
675307	Stredná odborná škola lesnícka	Prešov	Kollárova 10	44	3.2
676002	Hotelová akadémia J. Andraščíka	Bardejov	Pod Vinbargom 3	68	2.8
676004	Hotelová akadémia	Humenné	Štefánikova 28	66	2.8
676007	Hotelová akadémia Otta Brucknera	Kežmarok	MUDr. Alexandra 29	40	3.1
676013	Hotelová akadémia	Prešov	Baštová 32	85	2.7
676015	Súkromná hotelová akadémia	Prešov	Volgogradská 8	6	4.7
676101	Obchodná akadémia	Bardejov	Komenského 5	25	2.3
676104	Obchodná akadémia	Humenné	Komenského 1	77	2.2
676110	Obchodná akadémia	Poprad	Murgašova 94	96	2.7
676115	Súkromná obchodná akadémia	Prešov	Petrovianska 34	14	3.2
676116	Obchodná akadémia	Prešov	Volgogradská 3	80	2.2
676123	Obchodná akadémia	Stará Ľubovňa	Jarmočná 132	35	2.8
676127	Spojená škola - Obchodná akadémia	Svidník	Centrálna 464	35	2.9
676130	Obchodná akadémia	Vranov nad Topľou	Daxnerova 88	56	2.4
676307	Stredná odborná škola podnikania	Prešov	Masarykova 24	50	3
676401	Spojená škola	Bardejov	Štefánikova 64	20	3.4
676419	Stredná odborná škola obchodu a služieb	Prešov	Sídl. duklianskych hrdinov 3	43	3
677004	Stredná pedagogická škola	Levoča	Bottova 15 A	71	2.4
677202	Súkromná stredná odborná škola pedagogická EBG	Humenné	Lesná 909/28	23	2
677209	Pedagogická a sociálna akadémia	Prešov	Kmeťovo stromoradie 5	92	3
678104	Stredná odborná škola technická	Humenné	Družstevná 1737	86	3
678116	Stredná odborná škola technická	Poprad	Kukučínova 483/12	64	2.7
678119	Spojená škola - Stredná odborná škola technická	Prešov	Ľ. Podjavorinskej 22	136	3.1
678120	Stredná odborná škola technická	Prešov	Volgogradská 1	71	3.4
678128	Stredná odborná škola technická	Stará Ľubovňa	Levočská 40	42	2.5
678134	Stredná odborná škola technická	Svidník	Pionierska 361/4	14	2.2
678201	Spojená škola Juraja Henischa - Stredná odborná škola polytechnická	Bardejov	Slovenská 5	61	3.4
678204	Stredná odborná škola polytechnická	Humenné	Štefánikova 1550/20	85	3
678316	Stredná odborná škola elektrotechnická	Poprad	Hlavná 1400/1	45	2.7
678318	Stredná priemyselná škola elektrotechnická	Prešov	Plzenská 1	136	2.1
678328	Stredná odborná škola elektrotechnická	Stropkov	Hviezdoslavova 44	59	3.4
678419	Stredná odborná škola dopravná	Prešov	Konštantínova 2	60	2.9
681503	Stredná zdravotnícka škola sv. Alžbety	Košice	Mäsiarska 25	20	3
681504	Stredná zdravotnícka škola	Košice	Moyzesova 17	113	2.5
681508	Stredná zdravotnícka škola	Košice	Kukučínova 40	63	3.1
681512	Stredná zdravotnícka škola	Michalovce	Masarykova 27	90	2.2
681515	Stredná zdravotnícka škola - Egészségügyi Középiskola	Rožňava	Námestie 1. mája č.1	41	1.7
682001	Konzervatórium	Košice	Timonova 2	34	2.3
682002	Súkromné konzervatórium	Košice	Zádielska 12	11	2.2
682003	Súkromné hudobné a dramatické konzervatórium	Košice	Požiarnická 1	10	3.6
682004	Konzervatórium J. Adamoviča	Košice	Exnárova 8	33	2.2
682401	Škola úžitkového výtvarníctva	Košice	Jakobyho 15	56	2
682801	Súkromná stredná umelecká škola filmová	Košice	Petzvalova 2	14	3
683003	Stredná odborná škola Jozefa Szakkayho - Szakkay József Szakközépiskola	Košice	Grešákova 1	17	3.4
683005	Stredná odborná škola Jána Bocatia	Košice	Bocatiova 1	59	2.9
683007	Stredná odborná škola	Košice	Učňovská 5	52	2.7
683010	Súkromná stredná odborná škola	Košice	Postupimská 37	49	2.3
683013	Súkromná stredná odborná škola	Košice	Bukovecká 17	29	2.9
683014	Stredná odborná škola	Košice	Gemerská 1	35	2.3
683016	Súkromná stredná odborná škola PAMIKO	Košice	Kukučínova 23	1	—
683018	Stredná odborná škola	Košice	Ostrovského 1	154	2.4
683021	Stredná odborná škola - Szakközépiskola	Moldava nad Bodvou	Hlavná 54	21	3.5
683025	Stredná odborná škola sv. Cyrila a Metoda	Michalovce	Tehliarska 2	10	2.9
683026	Stredná odborná škola - Szakközépiskola	Veľké Kapušany	Janka Kráľa 25	28	3
683030	Spojená škola - Stredná odborná škola	Dobšiná	Zimná 96	6	2.5
683031	Stredná odborná škola technická	Rožňava	Hviezdoslavova 5	43	2.3
683042	Súkromná spojená škola SEZ Krompachy - Stredná odborná škola	Krompachy	Maurerova 55	15	3.1
683043	Stredná odborná škola	Spišská Nová Ves	Markušovská cesta 4	46	3.2
683046	Súkromná stredná odborná škola DSA	Trebišov	Komenského 12	60	1.9
683047	Cirkevná stredná odborná škola sv. Jozafáta	Trebišov	Komenského 1963/10	21	3.1
683048	Stredná odborná škola - Szakközépiskola	Kráľovský Chlmec	Rákocziho 23	52	3.1
683049	Spojená škola - Stredná odborná škola	Sečovce	Kollárova 17	16	2.9
683050	Stredná odborná škola - Szakközépiskola	Pribeník	J. Majlátha 2	12	2.9
683205	Stredná priemyselná škola strojnícka	Košice	Komenského 2	81	2.9
683209	Technická akadémia	Spišská Nová Ves	Hviezdoslavova 6	101	3
683709	Stredná odborná škola drevárska	Spišská Nová Ves	Filinského 7	104	3.3
684102	Stredná priemyselná škola stavebná a geodetická	Košice	Lermontovova 1	70	2.9
685104	Stredná odborná škola poľnohospodárstva a služieb na vidieku	Košice	Kukučínova 23	11	2.9
685705	Stredná odborná škola veterinárna	Košice	Námestie mladých poľnohospodárov 2	50	2.6
686005	Hotelová akadémia	Košice	Južná trieda 10	71	3.1
686009	Súkromná hotelová akadémia - Dufincova	Michalovce	Komenského 1	12	2.3
686017	Hotelová akadémia	Spišská Nová Ves	Radničné námestie 1	49	2.9
686103	Obchodná akadémia	Košice	Watsonova 61	63	3.1
686113	Obchodná akadémia	Košice	Polárna 1	38	2.9
686117	Obchodná akadémia	Michalovce	Kapušianska 2	73	2.8
686120	Obchodná akadémia	Rožňava	Akademika Hronca 8	26	2.7
686127	Obchodná akadémia	Trebišov	Komenského 3425/18	32	2.8
686203	Súkromná stredná odborná škola ekonomická Tercium	Košice	Palackého 14	8	3.9
686213	Stredná odborná škola ekonomická	Spišská Nová Ves	Stojan 1	71	2.8
686419	Stredná odborná škola obchodu a služieb	Michalovce	Školská 4	87	3.1
686422	Stredná odborná škola obchodu a služieb	Rožňava	Rožňavská Baňa 211	44	2.6
686425	Stredná odborná škola obchodu a služieb	Sobrance	Námestie slobody 12	21	2.7
687004	Katolícka stredná pedagogická škola sv. Cyrila a Metoda	Košice	Južná trieda 48	43	3.1
687204	Súkromná pedagogická a sociálna akadémia	Košice	Požiarnická 1	17	3.3
688129	Stredná odborná škola technická	Košice	Kukučínova 23	85	3.4
688132	Stredná odborná škola technická	Michalovce	Partizánska 1	145	2.4
688303	Stredná priemyselná škola elektrotechnická	Košice	Komenského 44	130	2.1
688403	Stredná priemyselná škola dopravná	Košice	Hlavná 113	85	3
688705	Stredná odborná škola železničná	Košice	Palackého 14	56	3.2
688802	Stredná odborná škola automobilová	Košice	Moldavská cesta 2	66	3.1
