skola	nazov	mesto	ulica	adresa	m_n	m_z
651012	Gymnázium Viliama Paulinyho - Tótha	Martin	Malá hora 3	Malá hora 3, Martin	28	1.6
651013	Bilingválne gymnázium Milana Hodžu	Sučany	Komenského 215	Komenského 215, Sučany	14	1.6
651014	Spojená škola - Gymnázium J. C. Hronského	Vrútky	M. R. Štefánika 1	M. R. Štefánika 1, Vrútky	2	1
651015	Gymnázium Antona Bernoláka	Námestovo	Mieru 307/23	Mieru 307/23, Námestovo	78	2.2
651016	Gymnázium	Ružomberok	Š. Moyzesa 21	Š. Moyzesa 21, Ružomberok	35	1.9
651017	Gymnázium sv. Andreja	Ružomberok	Námestie A. Hlinku 5	Námestie A. Hlinku 5, Ružomberok	28	2.3
651019	Spojená škola - Gymnázium M. Galandu	Turčianske Teplice	Horné Rakovce 1440/29	Horné Rakovce 1440/29, Turčianske Teplice	3	2.7
651020	Gymnázium Martina Hattalu	Trstená	Železničiarov 278	Železničiarov 278, Trstená	72	1.8
651021	Gymnázium	Tvrdošín	Školská 837	Školská 837, Tvrdošín	13	1.3
651022	Gymnázium	Rajec	Javorová 5	Javorová 5, Rajec	3	1.7
651023	Katolícka spojená škola	Rajec	Námestie A. Škrábika 5	Námestie A. Škrábika 5, Rajec	5	1
651024	Gymnázium	Žilina	Hlinská 29	Hlinská 29, Žilina	29	3.2
651025	Gymnázium	Žilina	Veľká okružná 22	Veľká okružná 22, Žilina	55	2.2
651026	Gymnázium sv. Františka z Assisi	Žilina	J. M. Hurbana 44	J. M. Hurbana 44, Žilina	20	1.8
651027	Gymnázium	Žilina	Varšavská cesta 1	Varšavská cesta 1, Žilina	17	1.4
651028	Gymnázium bilingválne	Žilina	T. Ružičku 3	T. Ružičku 3, Žilina	12	2.3
651029	Spojená škola - Športové gymnázium	Žilina	Rosinská cesta 4	Rosinská cesta 4, Žilina	10	1.3
651031	Spojená škola KP - Gymnázium Kráľovnej pokoja	Žilina	Na Závaží 2	Na Závaží 2, Žilina	5	1.4
651032	Súkromné bilingválne gymnázium	Ružomberok	Bystrická cesta 174/5	Bystrická cesta 174/5, Ružomberok	3	1.3
651033	Evanjelická spojená škola - Evanjelické gymnázium	Martin	M. R. Štefánika 17	M. R. Štefánika 17, Martin	5	2.8
653004	Stredná odborná škola	Námestovo	Hattalova 968/33	Hattalova 968/33, Námestovo	14	2.4
653008	Súkromná stredná odborná škola	Žilina	Saleziánska 18	Saleziánska 18, Žilina	2	2.5
653201	Stredná odborná škola strojnícka	Kysucké Nové Mesto	Športová 1326	Športová 1326, Kysucké Nové Mesto	15	1.5
653202	Spojená škola	Martin	Červenej armády 25	Červenej armády 25, Martin	6	2.7
654003	Stredná priemyselná škola stavebná	Žilina	Veľká Okružná 25	Veľká Okružná 25, Žilina	29	2.3
654501	Spojená škola	Kysucké Nové Mesto	Nábrežná 1325	Nábrežná 1325, Kysucké Nové Mesto	54	—
654502	Stredná priemyselná škola	Martin	Novomeského 5/24	Novomeského 5/24, Martin	12	2.5
654503	Spojená škola - Stredná priemyselná škola a Obchodná akadémia	Tvrdošín	Sídl. Medvedzie I. 133/1	Sídl. Medvedzie I. 133/1, Tvrdošín	12	2.1
655101	Stredná odborná škola poľnohospodárstva a služieb na vidieku	Žilina	Predmestská 82	Predmestská 82, Žilina	7	2
656002	Súkromná Spojená škola EDUCO	Námestovo	Slanická Osada 2178	Slanická Osada 2178, Námestovo	4	2.5
656101	Obchodná akadémia Dušana Metoda Janotu	Čadca	17. novembra 2701	17. novembra 2701, Čadca	1	—
656102	Obchodná akadémia	Dolný Kubín	Radlinského 1725/55	Radlinského 1725/55, Dolný Kubín	14	1.8
656104	Obchodná akadémia	Liptovský Mikuláš	Nábrežie K. Petroviča 1571	Nábrežie K. Petroviča 1571, Liptovský Mikuláš	9	—
656110	Obchodná akadémia	Žilina	Veľká Okružná 32	Veľká Okružná 32, Žilina	2	2
656112	Súkromná obchodná akadémia	Žilina	Jarná 13	Jarná 13, Žilina	3	1.7
658103	Stredná odborná škola technická	Námestovo	Komenského 496/37	Komenského 496/37, Námestovo	26	2.5
658104	Spojená škola	Nižná	Hattalova 471	Hattalova 471, Nižná	12	2.1
658203	Stredná odborná škola polytechnická	Ružomberok	Sládkovičova ulica 104	Sládkovičova ulica 104, Ružomberok	8	2
658301	Stredná odborná škola elektrotechnická	Liptovský Hrádok	Celiny 536	Celiny 536, Liptovský Hrádok	16	1.4
658302	Stredná odborná škola elektrotechnická	Žilina	Komenského 50	Komenského 50, Žilina	9	2.1
658401	Stredná odborná škola dopravná	Martin	Zelená 2	Zelená 2, Martin	3	1.7
661001	Gymnázium A. Sládkoviča	Banská Bystrica	Komenského 18	Komenského 18, Banská Bystrica	37	2.3
661002	Gymnázium J. G. Tajovského	Banská Bystrica	Tajovského 25	Tajovského 25, Banská Bystrica	69	1.6
661003	Gymnázium M. Kováča	Banská Bystrica	Mládežnícka 51	Mládežnícka 51, Banská Bystrica	2	3
661005	Športové gymnázium	Banská Bystrica	Trieda SNP 54	Trieda SNP 54, Banská Bystrica	4	—
661007	Katolícke gymnázium Š. Moysesa	Banská Bystrica	Hurbanova 9	Hurbanova 9, Banská Bystrica	8	2.1
661008	Evanjelické gymnázium	Banská Bystrica	Skuteckého 5	Skuteckého 5, Banská Bystrica	5	1.2
661015	Gymnázium A. Kmeťa	Banská Štiavnica	Kolpašská 1738/9	Kolpašská 1738/9, Banská Štiavnica	26	1.6
661020	Gymnázium J. Chalupku	Brezno	Štúrova 13	Štúrova 13, Brezno	16	2.5
661023	Súkromné gymnázium	Podbrezová	Družby 554/64	Družby 554/64, Podbrezová	11	3
661025	Gymnázium	Detva	Štúrova 849	Štúrova 849, Detva	13	—
661028	Gymnázium A. Sládkoviča	Krupina	M. R. Štefánika 8	M. R. Štefánika 8, Krupina	7	—
661031	Gymnázium - Gimnázium	Fiľakovo	Námestie padlých hrdinov 2	Námestie padlých hrdinov 2, Fiľakovo	15	2
661034	Gymnázium B. S. Timravy	Lučenec	Haličská cesta 9	Haličská cesta 9, Lučenec	31	2.2
661036	Súkromné gymnázium	Lučenec	Gemerská cesta 1	Gemerská cesta 1, Lučenec	1	—
661042	Gymnázium M. Kukučína	Revúca	Clementisova 1166	Clementisova 1166, Revúca	18	1.3
661045	Gymnázium - Gimnázium	Tornaľa	Hurbanova 34	Hurbanova 34, Tornaľa	8	2.1
661048	Gymnázium Mateja Hrebendu	Hnúšťa	Hlavná 431	Hlavná 431, Hnúšťa	5	1.2
661051	Gymnázium Ivana Kraska - Ivan Krasko Gimnázium	Rimavská Sobota	P. Hostinského 3	P. Hostinského 3, Rimavská Sobota	18	2
661054	Gymnázium M. Tompu RKC s VJM	Rimavská Sobota	Daxnerova 42	Daxnerova 42, Rimavská Sobota	3	1.7
661057	Evanjelické gymnázium	Tisovec	Jesenského 836	Jesenského 836, Tisovec	9	—
661060	Gymnázium A. H. Škultétyho	Veľký Krtíš	Školská 21	Školská 21, Veľký Krtíš	20	1.4
661064	Gymnázium Ľudovíta Štúra	Zvolen	Hronská 1467/3	Hronská 1467/3, Zvolen	37	2.2
661068	Súkromné gymnázium	Zvolen	Jesenského 42	Jesenského 42, Zvolen	1	—
661071	Gymnázium F. Švantnera	Nová Baňa	Bernolákova 9	Bernolákova 9, Nová Baňa	15	1.7
661083	Gymnázium Milana Rúfusa	Žiar nad Hronom	J. Kollára 2	J. Kollára 2, Žiar nad Hronom	36	2.1
663074	Stredná odborná škola	Veľký Krtíš	Poľná 10	Poľná 10, Veľký Krtíš	1	—
663090	Stredná odborná škola	Žarnovica	Bystrická 4	Bystrická 4, Žarnovica	1	—
663110	Súkromná stredná odborná škola hutnícka ŽP	Podbrezová	Družby 554/64	Družby 554/64, Podbrezová	4	1.3
664001	Spojená škola - Stredná odborná škola stavebná	Banská Bystrica	Kremnička 10	Kremnička 10, Banská Bystrica	4	2.3
664002	Spojená škola - Stredná priemyselná škola stavebná	Banská Bystrica	Kremnička 10	Kremnička 10, Banská Bystrica	4	1.8
664013	Stredná priemyselná škola stavebná O. Winklera	Lučenec	B. Nemcovej 1	B. Nemcovej 1, Lučenec	4	—
664501	Stredná priemyselná škola J. Murgaša	Banská Bystrica	Hurbanova 6	Hurbanova 6, Banská Bystrica	83	2.1
664506	Stredná priemyselná škola S. Mikovíniho	Banská Štiavnica	Akademická 13	Akademická 13, Banská Štiavnica	6	1.7
664701	Stredná odborná škola informačných technológií	Banská Bystrica	Tajovského 30	Tajovského 30, Banská Bystrica	5	1.4
666101	Obchodná akadémia	Banská Bystrica	Tajovského 25	Tajovského 25, Banská Bystrica	10	1.5
668301	Spojená škola - Stredná odborná škola elektrotechnická	Banská Bystrica	Zvolenská cesta 18	Zvolenská cesta 18, Banská Bystrica	6	2.5
668940	Technická akadémia	Zvolen	J. Švermu 1	J. Švermu 1, Zvolen	5	1.8
671001	Gymnázium Leonarda Stöckela	Bardejov	Jiráskova 12	Jiráskova 12, Bardejov	41	1.8
671002	Spojená škola Juraja Henischa - Gymnázium	Bardejov	Slovenská 5	Slovenská 5, Bardejov	13	2
671003	Cirkevná spojená škola - Gymnázium sv. Jána Bosca	Bardejov	Jiráskova 5	Jiráskova 5, Bardejov	2	1.5
671004	Súkromné gymnázium	Bardejov	Ul. 29. augusta 4	Ul. 29. augusta 4, Bardejov	11	2.2
671007	Gymnázium sv. Cyrila a Metoda	Humenné	Duchnovičova 24	Duchnovičova 24, Humenné	4	2
671008	Gymnázium arm. gen. L. Svobodu	Humenné	Komenského 4	Komenského 4, Humenné	39	1.9
671009	Gymnázium sv. Jána Zlatoústeho	Humenné	Lesná 28	Lesná 28, Humenné	6	1.8
671011	Gymnázium P. O. Hviezdoslava	Kežmarok	Hviezdoslavova 20	Hviezdoslavova 20, Kežmarok	19	2.2
671012	Spojená škola - Gymnázium	Spišská Stará Ves	SNP 3/5	SNP 3/5, Spišská Stará Ves	6	2
671015	Gymnázium J. Francisciho - Rimavského	Levoča	Kláštorská 37	Kláštorská 37, Levoča	11	2.2
