skola	NM	nazov	mesto	ulica	N	N_ZZ	N_SZP	N_C	znamka	uspes	ptil_skol	N_úspM	dlzka_studia	interní N	interní PÚ	externí N	externí PÚ	GYM_4 N	GYM_4 PÚ	GYM_8 N	GYM_8 PÚ
614,701	47	Stredná odborná škola informačných technologií	Bratislava	Hlinická 1	12	1	0	0	2.4	23.1	—	3	4	12	23.1	—	—	—	—	—	—
616,004	124	Hotelová akadémia	Bratislava	Mikovíniho 1	1	—	—	—	—	—	—	—	2/4/2005	1	—	—	—	—	—	—	—
616,102	135	Obchodná akadémia I. Karvaša Bratislava	Bratislava	Hrobákova 11	3	0	0	0	1.3	25.6	—	—	4/5	3	25.6	—	—	—	—	—	—
616,103	51	Obchodná akadémia	Bratislava	Dudova 4	1	—	—	—	—	—	—	—	4	1	—	—	—	—	—	—	—
616,104	77	Obchodná akadémia	Bratislava	Nevädzova 3	1	—	—	—	—	—	—	—	4/8	1	—	—	—	—	—	—	—
618,303	83	Stredná priemyselná škola elektrotechnická	Bratislava	Zochova 9	28	4	0	0	3	38.8	11.5	18	4	28	38.8	—	—	—	—	—	—
618,304	108	Stredná priemyselná škola elektrotechnická	Bratislava	K. Adlera 5	60	2	0	0	2.7	44.8	16.4	45	4	60	44.8	—	—	—	—	—	—
618,305	78	Stredná priemyselná škola elektrotechnická	Bratislava	Hálova 16	23	2	0	0	2.3	29.6	5.7	10	4	23	29.6	—	—	—	—	—	—
618,401	40	Stredná odborná škola dopravná	Bratislava	Kvačalova 20	1	—	—	—	—	—	—	1	2/4	1	—	—	—	—	—	—	—
621,001	30	Gymnázium Ladislava Dúbravu	Dunajská Streda	Smetanov háj 285/8	7	0	0	0	1.1	63.8	—	7	4/8	7	63.8	—	—	2	68.3	5	62
621,002	86	Gymnázium Ármina Vámbéryho s VJM	Dunajská Streda	Námestie sv. Štefana 1190/4	12	0	0	0	1.3	94.7	—	12	4	12	94.7	—	—	12	94.7	—	—
621,003	37	Gymnázium M. R. Štefánika	Šamorín	Slnečná 2	16	0	0	0	1.9	71	84.4	16	4/8	16	71	—	—	8	70.8	8	71.3
621,004	47	Gymnázium Imre Madácha s VJM	Šamorín	Slnečná 2	26	0	0	0	1.9	51.3	21.3	22	4/8	26	51.3	—	—	20	44.5	6	73.9
621,005	19	Gymnázium Mateja Korvína s VJM	Veľký Meder	Bratislavská 38	3	0	0	0	1.3	46.7	—	3	4	3	46.7	—	—	3	46.7	—	—
621,006	62	Gymnázium Janka Matúšku	Galanta	Štvrť SNP 1004/34	20	1	0	0	1.8	69	78.7	18	4/8	20	69	—	—	10	63.3	10	74.7
621,007	68	Gymnázium Zoltána Kodálya s VJM	Galanta	Štvrť SNP 1004/34	20	0	0	0	—	67.5	74.6	20	4/8	20	67.5	—	—	16	69.4	4	60
621,008	62	Gymnázium Vojtecha Mihálika	Sereď	Kostolná 119/8	23	0	0	0	2.7	68.1	77	23	4/8	23	68.1	—	—	18	66.7	5	73.3
621,009	54	Gymnázium Ivana Kupca	Hlohovec	Komenského 13	17	1	0	0	1.9	57.8	35.2	17	4/8	17	57.8	—	—	9	62.2	8	52.9
621,010	129	Gymnázium Pierra de Coubertina	Piešťany	Námestie SNP 9	40	1	0	0	2.4	65.1	59.8	40	4/8	40	65.1	—	—	27	62.1	13	71.3
