skola	NM	nazov	mesto	ulica	N	N_ZZ	N_SZP	N_C	znamka	uspes	ptil_skol	N_úspM	dlzka_studia	interní N	interní PÚ	externí N	externí PÚ	GYM_4 N	GYM_4 PÚ	GYM_8 N	GYM_8 PÚ
651,022	22	Gymnázium	Rajec	Javorová 5	3	0	0	0	1.7	67.8	—	3	4	3	67.8	—	—	3	67.8	—	—
651,023	12	Katolícka spojená škola	Rajec	Námestie A. Škrábika 5	5	0	0	0	1	71.3	—	5	8	5	71.3	—	—	—	—	5	71.3
651,024	114	Gymnázium	Žilina	Hlinská 29	29	1	0	0	3.2	53.6	27.9	27	4	29	53.6	—	—	29	53.6	—	—
651,025	148	Gymnázium	Žilina	Veľká okružná 22	55	0	0	0	2.2	63	48.4	55	4	55	63	—	—	55	63	—	—
651,026	57	Gymnázium sv. Františka z Assisi	Žilina	J. M. Hurbana 44	20	0	0	0	1.8	66.8	71.3	19	4/8	20	66.8	—	—	9	73	11	61.8
651,027	53	Gymnázium	Žilina	Varšavská cesta 1	17	0	0	0	1.4	69.6	82	17	8	17	69.6	—	—	—	—	17	69.6
651,028	138	Gymnázium bilingválne	Žilina	T. Ružičku 3	12	0	0	0	2.3	47.8	—	10	5	12	47.8	—	—	—	—	—	—
651,029	38	Spojená škola - Športové gymnázium	Žilina	Rosinská cesta 4	10	0	0	0	1.3	55.7	—	10	4/8	10	55.7	—	—	8	56.3	2	53.3
651,031	28	Spojená škola KP - Gymnázium Kráľovnej pokoja	Žilina	Na Závaží 2	5	0	0	0	1.4	39.3	—	3	4	5	39.3	—	—	5	39.3	—	—
651,032	23	Súkromné bilingválne gymnázium	Ružomberok	Bystrická cesta 174/5	3	0	0	0	1.3	34.4	—	1	5	3	34.4	—	—	—	—	—	—
651,033	74	Evanjelická spojená škola - Evanjelické gymnázium	Martin	M. R. Štefánika 17	5	0	0	0	2.8	43.3	—	3	5	5	43.3	—	—	—	—	—	—
653,004	88	Stredná odborná škola	Námestovo	Hattalova 968/33	14	0	0	0	2.4	34	—	9	2/4	14	34	—	—	—	—	—	—
653,008	30	Súkromná stredná odborná škola	Žilina	Saleziánska 18	2	0	0	0	2.5	8.3	—	—	4	2	8.3	—	—	—	—	—	—
653,201	113	Stredná odborná škola strojnícka	Kysucké Nové Mesto	Športová 1326	15	0	0	0	1.5	52.4	—	15	2/4/2005	15	52.4	—	—	—	—	—	—
653,202	91	Spojená škola	Martin	Červenej armády 25	6	2	0	0	2.7	14.4	—	1	2/4	6	14.4	—	—	—	—	—	—
654,003	164	Stredná priemyselná škola stavebná	Žilina	Veľká Okružná 25	29	0	0	0	2.3	52.5	23.8	26	4	29	52.5	—	—	—	—	—	—
654,501	172	Spojená škola	Kysucké Nové Mesto	Nábrežná 1325	54	1	0	0	—	64.1	55.7	53	4	54	64.1	—	—	—	—	—	—
654,502	86	Stredná priemyselná škola	Martin	Novomeského 5/24	12	0	0	0	2.5	41.9	—	10	4	12	41.9	—	—	—	—	—	—
654,503	115	Spojená škola - Stredná priemyselná škola a Obchodná akadémia	Tvrdošín	Sídl. Medvedzie I. 133/1	12	0	0	0	2.1	44.7	—	11	4	12	44.7	—	—	—	—	—	—
655,101	89	Stredná odborná škola poľnohospodárstva a služieb na vidieku	Žilina	Predmestská 82	7	1	0	0	2	14.8	—	—	4	7	14.8	—	—	—	—	—	—
656,002	77	Súkromná Spojená škola EDUCO	Námestovo	Slanická Osada 2178	4	0	0	0	2.5	15.8	—	—	2/4/2005	4	15.8	—	—	—	—	—	—
656,101	141	Obchodná akadémia Dušana Metoda Janotu	Čadca	17. novembra 2701	1	—	—	—	—	—	—	1	4/5	1	—	—	—	—	—	—	—
656,102	71	Obchodná akadémia	Dolný Kubín	Radlinského 1725/55	14	1	0	0	1.8	25.2	—	2	4	14	25.2	—	—	—	—	—	—
656,104	42	Obchodná akadémia	Liptovský Mikuláš	Nábrežie K. Petroviča 1571	9	2	0	0	—	24.1	—	2	4	9	24.1	—	—	—	—	—	—
656,110	83	Obchodná akadémia	Žilina	Veľká Okružná 32	2	0	0	0	2	25	—	1	4	2	25	—	—	—	—	—	—
656,112	55	Súkromná obchodná akadémia	Žilina	Jarná 13	3	0	0	0	1.7	35.6	—	2	4	3	35.6	—	—	—	—	—	—
658,103	64	Stredná odborná škola technická	Námestovo	Komenského 496/37	26	0	0	0	2.5	23.7	0.8	8	2/4	26	23.7	—	—	—	—	—	—
658,104	126	Spojená škola	Nižná	Hattalova 471	12	0	0	0	2.1	25.3	—	3	2/4	12	25.3	—	—	—	—	—	—
658,203	59	Stredná odborná škola polytechnická	Ružomberok	Sládkovičova ulica 104	8	3	0	0	2	42.5	—	8	4	8	42.5	—	—	—	—	—	—
658,301	143	Stredná odborná škola elektrotechnická	Liptovský Hrádok	Celiny 536	16	0	0	0	1.4	51	20.5	12	4	16	51	—	—	—	—	—	—
658,302	101	Stredná odborná škola elektrotechnická	Žilina	Komenského 50	9	2	0	0	2.1	43.3	—	8	4	9	43.3	—	—	—	—	—	—
658,401	58	Stredná odborná škola dopravná	Martin	Zelená 2	3	0	0	0	1.7	34.4	—	2	2/4	3	34.4	—	—	—	—	—	—
661,001	125	Gymnázium A. Sládkoviča	Banská Bystrica	Komenského 18	37	0	0	0	2.3	54.6	30.3	35	4	37	54.6	—	—	37	54.6	—	—
661,002	182	Gymnázium J. G. Tajovského	Banská Bystrica	Tajovského 25	69	1	0	0	1.6	65.4	63.9	68	4/5	69	65.4	—	—	66	65.2	—	—
661,003	60	Gymnázium M. Kováča	Banská Bystrica	Mládežnícka 51	2	0	0	0	3	40	—	2	5/8	2	40	—	—	—	—	2	40
661,005	34	Športové gymnázium	Banská Bystrica	Trieda SNP 54	4	0	0	0	—	55.8	—	4	4	4	55.8	—	—	4	55.8	—	—
661,007	63	Katolícke gymnázium Š. Moysesa	Banská Bystrica	Hurbanova 9	8	0	0	0	2.1	57.5	—	8	4/8	8	57.5	—	—	2	68.3	6	53.9
661,008	92	Evanjelické gymnázium	Banská Bystrica	Skuteckého 5	5	0	0	0	1.2	65.3	—	5	5	5	65.3	—	—	—	—	—	—
661,015	74	Gymnázium A. Kmeťa	Banská Štiavnica	Kolpašská 1738/9	26	0	0	0	1.6	64.1	56.6	26	4/5	26	64.1	—	—	8	55.4	—	—
661,020	57	Gymnázium J. Chalupku	Brezno	Štúrova 13	16	0	0	0	2.5	56.3	31.1	15	4/8	16	56.3	—	—	13	55.6	3	58.9
661,023	42	Súkromné gymnázium	Podbrezová	Družby 554/64	11	0	0	0	3	50.3	—	10	4	11	50.3	—	—	11	50.3	—	—
661,025	32	Gymnázium	Detva	Štúrova 849	13	0	0	0	—	67.9	—	13	4	13	67.9	—	—	13	67.9	—	—
661,028	24	Gymnázium A. Sládkoviča	Krupina	M. R. Štefánika 8	7	0	0	0	—	52.4	—	7	4	7	52.4	—	—	7	52.4	—	—
661,031	50	Gymnázium - Gimnázium	Fiľakovo	Námestie padlých hrdinov 2	15	0	0	0	2	63.1	—	15	4	15	63.1	—	—	15	63.1	—	—
661,034	118	Gymnázium B. S. Timravy	Lučenec	Haličská cesta 9	31	0	0	0	2.2	63.5	50.8	31	4/8	31	63.5	—	—	28	61.5	3	82.2
661,036	7	Súkromné gymnázium	Lučenec	Gemerská cesta 1	1	—	—	—	—	—	—	1	4/8	1	—	—	—	—	—	—	—
661,042	40	Gymnázium M. Kukučína	Revúca	Clementisova 1166	18	0	0	0	1.3	63.9	54.1	17	4/8	18	63.9	—	—	5	50	13	69.2
661,045	36	Gymnázium - Gimnázium	Tornaľa	Hurbanova 34	8	0	0	0	2.1	58.8	—	8	4	8	58.8	—	—	8	58.8	—	—
661,048	26	Gymnázium Mateja Hrebendu	Hnúšťa	Hlavná 431	5	0	0	0	1.2	47.3	—	5	4/8	5	47.3	—	—	2	55	3	42.2
661,051	66	Gymnázium Ivana Kraska - Ivan Krasko Gimnázium	Rimavská Sobota	P. Hostinského 3	18	0	0	0	2	58.7	36.9	18	4/8	18	58.7	—	—	14	60.2	4	53.3
661,054	13	Gymnázium M. Tompu RKC s VJM	Rimavská Sobota	Daxnerova 42	3	0	0	0	1.7	40	—	2	4/8	3	40	—	—	—	—	3	40
661,057	92	Evanjelické gymnázium	Tisovec	Jesenského 836	9	0	0	0	—	40.7	—	6	5	9	40.7	—	—	—	—	—	—
661,060	62	Gymnázium A. H. Škultétyho	Veľký Krtíš	Školská 21	20	1	0	0	1.4	57.7	32.8	20	4/8	20	57.7	—	—	12	53.9	8	63.3
661,064	156	Gymnázium Ľudovíta Štúra	Zvolen	Hronská 1467/3	37	2	0	0	2.2	64	54.9	35	4	37	64	—	—	37	64	—	—
661,068	16	Súkromné gymnázium	Zvolen	Jesenského 42	1	—	—	—	—	—	—	1	4	1	—	—	—	—	—	—	—
661,071	40	Gymnázium F. Švantnera	Nová Baňa	Bernolákova 9	15	3	0	0	1.7	58.7	—	14	4/8	15	58.7	—	—	10	59	5	58
661,083	114	Gymnázium Milana Rúfusa	Žiar nad Hronom	J. Kollára 2	36	1	0	0	2.1	63.6	51.6	36	4/8	36	63.6	—	—	28	61.3	8	71.7
663,074	35	Stredná odborná škola	Veľký Krtíš	Poľná 10	1	—	—	—	—	—	—	1	4	1	—	—	—	—	—	—	—
663,090	44	Stredná odborná škola	Žarnovica	Bystrická 4	1	—	—	—	—	—	—	—	4	1	—	—	—	—	—	—	—
663,110	74	Súkromná stredná odborná škola hutnícka ŽP	Podbrezová	Družby 554/64	4	0	0	0	1.3	50.8	—	4	4/5	4	50.8	—	—	—	—	—	—
664,001	57	Spojená škola - Stredná odborná škola stavebná	Banská Bystrica	Kremnička 10	4	0	0	0	2.3	20.8	—	—	4	4	20.8	—	—	—	—	—	—
664,002	24	Spojená škola - Stredná priemyselná škola stavebná	Banská Bystrica	Kremnička 10	4	0	0	0	1.8	46.7	—	4	4	4	46.7	—	—	—	—	—	—
664,013	47	Stredná priemyselná škola stavebná O. Winklera	Lučenec	B. Nemcovej 1	4	0	0	0	—	48.3	—	4	4	4	48.3	—	—	—	—	—	—
664,501	147	Stredná priemyselná škola J. Murgaša	Banská Bystrica	Hurbanova 6	83	7	0	0	2.1	38.6	10.7	57	4	83	38.6	—	—	—	—	—	—
664,506	55	Stredná priemyselná škola S. Mikovíniho	Banská Štiavnica	Akademická 13	6	0	0	0	1.7	29.4	—	2	4	6	29.4	—	—	—	—	—	—
664,701	128	Stredná odborná škola informačných technológií	Banská Bystrica	Tajovského 30	5	0	0	0	1.4	30.7	—	2	4	5	30.7	—	—	—	—	—	—
666,101	78	Obchodná akadémia	Banská Bystrica	Tajovského 25	10	1	0	0	1.5	21.7	—	3	4	10	21.7	—	—	—	—	—	—
668,301	60	Spojená škola - Stredná odborná škola elektrotechnická	Banská Bystrica	Zvolenská cesta 18	6	1	0	0	2.5	11.7	—	—	4	6	11.7	—	—	—	—	—	—
668,940	58	Technická akadémia	Zvolen	J. Švermu 1	5	1	0	0	1.8	26.7	—	—	2/4	5	26.7	—	—	—	—	—	—
671,001	145	Gymnázium Leonarda Stöckela	Bardejov	Jiráskova 12	41	0	3	0	1.8	59.9	42.6	41	4	41	59.9	—	—	41	59.9	—	—
671,002	56	Spojená škola Juraja Henischa - Gymnázium	Bardejov	Slovenská 5	13	0	0	0	2	57.2	—	13	4	13	57.2	—	—	13	57.2	—	—
671,003	7	Cirkevná spojená škola - Gymnázium sv. Jána Bosca	Bardejov	Jiráskova 5	2	0	0	0	1.5	71.7	—	2	4	2	71.7	—	—	2	71.7	—	—
671,004	40	Súkromné gymnázium	Bardejov	Ul. 29. augusta 4	11	0	0	0	2.2	51.5	—	11	4	11	51.5	—	—	11	51.5	—	—
671,007	25	Gymnázium sv. Cyrila a Metoda	Humenné	Duchnovičova 24	4	0	0	0	2	74.2	—	4	4	4	74.2	—	—	4	74.2	—	—
671,008	144	Gymnázium arm. gen. L. Svobodu	Humenné	Komenského 4	39	1	0	0	1.9	60.9	44.3	37	4	39	60.9	—	—	39	60.9	—	—
671,009	22	Gymnázium sv. Jána Zlatoústeho	Humenné	Lesná 28	6	0	0	0	1.8	52.2	—	6	4	6	52.2	—	—	6	52.2	—	—
671,011	47	Gymnázium P. O. Hviezdoslava	Kežmarok	Hviezdoslavova 20	19	0	0	0	2.2	67.2	73.8	19	4	19	67.2	—	—	19	67.2	—	—
671,012	27	Spojená škola - Gymnázium	Spišská Stará Ves	SNP 3/5	6	0	0	0	2	60	—	5	4	6	60	—	—	6	60	—	—
671,015	46	Gymnázium J. Francisciho - Rimavského	Levoča	Kláštorská 37	11	0	0	0	2.2	60.6	—	11	4/8	11	60.6	—	—	9	59.3	2	66.7
671,016	54	Gymnázium sv. Františka Assiského	Levoča	Kláštorská 24	13	0	0	0	2.2	65.6	—	13	4/8	13	65.6	—	—	7	70	6	60.6
671,019	31	Gymnázium	Medzilaborce	Duchnovičova 13	12	0	0	0	1.5	59.7	—	12	4	12	59.7	—	—	12	59.7	—	—
671,021	27	Súkromné gymnázium	Poprad	Rovná 597/15	2	0	0	0	2.5	56.7	—	2	5	2	56.7	—	—	—	—	—	—
671,022	139	Spojená škola - Gymnázium	Poprad	Dominika Tatarku 4666/7	31	0	0	0	1.6	69.8	82.8	31	4/5/2008	31	69.8	—	—	22	69.8	4	69.2
671,023	134	Gymnázium	Poprad	Kukučinova 4239/1	43	0	0	0	2.1	60.2	43.4	42	4/8	43	60.2	—	—	35	62.2	8	51.7
671,024	26	Cirkevné gymnázium P. U. Olivu	Poprad	Dlhé hony 3522	4	0	0	0	1.3	53.3	—	3	4	4	53.3	—	—	4	53.3	—	—
671,027	21	Spojená škola Tarasa Ševčenka - Gymnázium	Prešov	Sládkovičova 4	3	0	0	0	1	54.4	—	3	4	3	54.4	—	—	3	54.4	—	—
671,028	36	Katolícka spojená škola sv. Mikuláša - Gymnázium sv. Mikuláša	Prešov	Duklianska 16	12	0	0	0	2.4	60.6	—	12	8	12	60.6	—	—	—	—	12	60.6
671,029	290	Gymnázium	Prešov	Konštantínova 2	41	0	0	0	1.7	66.7	70.5	41	4/5/2008	41	66.7	—	—	17	65.1	13	64.6
671,030	123	Gymnázium sv. Moniky	Prešov	Tarasa Ševčenka 1	26	1	0	0	1.7	74	94.3	26	4/5	26	74	—	—	26	74	—	—
671,031	41	Evanjelická spojená škola - Evanjelické kolegiálne gymnázium	Prešov	Námestie legionárov 3	10	0	0	0	2.1	71.7	—	10	4/8	10	71.7	—	—	5	66	5	77.3
671,032	132	Gymnázium J. A. Raymana	Prešov	Mudroňova 20	47	1	0	0	1.5	68	76.2	47	4	47	68	—	—	47	68	—	—
671,034	29	Súkromná spojená škola European English School - Súkromné gymnázium	Prešov	Solivarská 28	6	0	0	0	1.7	43.9	—	5	5	6	43.9	—	—	—	—	—	—
671,035	23	Gymnázium bl. Pavla Petra Gojdiča	Prešov	Bernolákova 21	10	2	0	0	2.3	39.3	—	7	4	10	39.3	—	—	10	39.3	—	—
671,036	27	Súkromné športové gymnázium ELBA	Prešov	Smetanova 2	2	0	0	0	2	16.7	—	—	4/8	2	16.7	—	—	—	—	2	16.7
671,041	92	Gymnázium	Lipany	Komenského 13	33	0	0	0	1.8	76.3	96.7	33	4/8	33	76.3	—	—	21	77.8	12	73.6
671,042	17	Súkromné Gymnázium DSA	Sabinov	Komenského 40	7	0	0	0	2.9	44.8	—	6	4	7	44.8	—	—	7	44.8	—	—
671,045	82	Gymnázium	Snina	Študentská 4	10	0	0	0	1.7	70.3	—	10	4/8	10	70.3	—	—	7	67.1	3	77.8
671,046	44	Cirkevná spojená škola - Gymnázium sv. Cyrila a Metoda	Snina	Švermova 10	4	0	0	0	1.5	62.5	—	4	4/8	4	62.5	—	—	—	—	4	62.5
671,050	85	Gymnázium Terézie Vansovej	Stará Ľubovňa	17. novembra 6	30	0	0	0	1.8	63.8	52.5	30	4/8	30	63.8	—	—	23	65.7	7	57.6
671,051	51	Cirkevné gymnázium sv. Mikuláša	Stará Ľubovňa	Štúrova 3	13	0	0	0	1.6	45.6	—	9	4	13	45.6	—	—	13	45.6	—	—
671,054	63	Gymnázium	Stropkov	Konštantínova 1751/64	16	0	0	0	2.3	61.9	45.9	16	4/8	16	61.9	—	—	12	62.5	4	60
671,056	38	Gymnázium	Giraltovce	Dukelská 30	10	0	1	0	1.7	64.3	—	10	4/8	10	64.3	—	—	4	46.7	6	76.1
671,057	45	Gymnázium duklianskych hrdinov	Svidník	Komenského 16	11	0	0	0	2.1	62.7	—	11	4	11	62.7	—	—	11	62.7	—	—
671,062	111	Gymnázium	Vranov nad Topľou	Dr. C. Daxnera 88	39	0	0	0	2.1	59.7	39.3	39	4	39	59.7	—	—	39	59.7	—	—
671,063	29	Cirkevná spojená škola - Gymnázium	Vranov nad Topľou	Školská 650	6	0	0	0	2	51.1	—	6	4	6	51.1	—	—	6	51.1	—	—
673,026	100	Súkromná stredná odborná škola	Poprad	Ul. 29. augusta 4812	14	0	0	0	1.1	60	—	14	4	14	60	—	—	—	—	—	—
673,043	41	Spojená škola - Stredná odborná škola	Sabinov	SNP 16	2	0	0	0	2	30	—	1	2/4	2	30	—	—	—	—	—	—
673,707	70	Stredná odborná škola drevárska	Vranov nad Topľou	Lúčna 1055	2	0	0	0	2	36.7	—	1	2/4	2	36.7	—	—	—	—	—	—
674,007	78	Stredná priemyselná škola stavebná	Prešov	Plzenská 10	16	0	0	0	1.7	32.1	6.6	9	4	16	32.1	—	—	—	—	—	—
674,501	97	Stredná priemyselná škola	Bardejov	Komenského 5	11	0	0	0	1.9	43.3	—	10	4	11	43.3	—	—	—	—	—	—
674,511	143	Stredná priemyselná škola	Poprad	Mnoheľova 828	16	1	0	0	1.9	39.2	12.3	10	4	16	39.2	—	—	—	—	—	—
674,522	62	Stredná priemyselná škola	Snina	Partizánska 1059/23	10	1	0	0	2.1	51	—	9	4	10	51	—	—	—	—	—	—
676,004	74	Hotelová akadémia	Humenné	Štefánikova 28	3	0	0	0	1.7	6.7	—	—	4/5	3	6.7	—	—	—	—	—	—
676,013	103	Hotelová akadémia	Prešov	Baštová 32	4	0	0	0	2	39.2	—	2	5	4	39.2	—	—	—	—	—	—
676,101	36	Obchodná akadémia	Bardejov	Komenského 5	6	0	0	0	1	52.8	—	6	4	6	52.8	—	—	—	—	—	—
676,110	121	Obchodná akadémia	Poprad	Murgašova 94	4	0	0	0	1.8	35	—	2	4	4	35	—	—	—	—	—	—
676,116	84	Obchodná akadémia	Prešov	Volgogradská 3	6	0	0	0	1.5	25.6	—	2	4	6	25.6	—	—	—	—	—	—
676,123	43	Obchodná akadémia	Stará Ľubovňa	Jarmočná 132	1	—	—	—	—	—	—	—	4	1	—	—	—	—	—	—	—
676,127	49	Spojená škola - Obchodná akadémia	Svidník	Centrálna 464	1	—	—	—	—	—	—	1	4/5	1	—	—	—	—	—	—	—
678,104	116	Stredná odborná škola technická	Humenné	Družstevná 1737	22	0	0	0	2.4	20.3	0	3	4	22	20.3	—	—	—	—	—	—
678,116	69	Stredná odborná škola technická	Poprad	Kukučínova 483/12	2	0	0	0	1.5	30	—	1	4	2	30	—	—	—	—	—	—
678,119	149	Spojená škola - Stredná odborná škola technická	Prešov	Ľ. Podjavorinskej 22	1	—	—	—	—	—	—	1	4/5	1	—	—	—	—	—	—	—
678,120	79	Stredná odborná škola technická	Prešov	Volgogradská 1	2	0	0	0	2.5	13.3	—	—	2/4	2	13.3	—	—	—	—	—	—
678,128	44	Stredná odborná škola technická	Stará Ľubovňa	Levočská 40	2	0	0	0	3	10	—	—	4	2	10	—	—	—	—	—	—
678,204	85	Stredná odborná škola polytechnická	Humenné	Štefánikova 1550/20	12	0	0	0	1.7	40.8	—	11	4	12	40.8	—	—	—	—	—	—
678,316	70	Stredná odborná škola elektrotechnická	Poprad	Hlavná 1400/1	1	—	—	—	—	—	—	1	4/5	1	—	—	—	—	—	—	—
678,318	167	Stredná priemyselná škola elektrotechnická	Prešov	Plzenská 1	110	0	0	0	2.4	50.8	19.7	95	4	110	50.8	—	—	—	—	—	—
681,001	25	Gymnázium	Gelnica	SNP 1	4	0	0	0	2	49.2	—	4	4	4	49.2	—	—	4	49.2	—	—
681,003	18	Súkromné športové gymnázium	Košice	Užhorodská 39	2	0	0	0	2	76.7	—	2	4/8	2	76.7	—	—	—	—	2	76.7
681,004	79	Gymnázium Milana Rastislava Štefánika	Košice	Námestie L. Novomeského 4	6	0	0	0	1.5	57.8	—	5	4/5/2008	6	57.8	—	—	3	38.9	3	76.7
681,005	44	Gymnázium a ZŠ Sándora Máraiho s VJM - Márai Sándor Magyar Tanítási Nyelvű Gimnázium és Alapiskola	Košice	Kuzmányho 6	9	0	0	0	1.3	88.1	—	9	4	9	88.1	—	—	9	88.1	—	—
681,006	123	Gymnázium	Košice	Poštová 9	53	3	0	0	1.7	73	91.8	53	4	53	73	—	—	53	73	—	—
681,007	110	Gymnázium sv. Tomáša Akvinského	Košice	Zbrojničná 3	33	0	0	0	2.5	67.1	73	32	4	33	67.1	—	—	33	67.1	—	—
681,008	107	Gymnázium	Košice	Šrobárova 1	43	1	0	0	2.3	57.8	34.4	42	4	43	57.8	—	—	43	57.8	—	—
681,014	63	Súkromné gymnázium	Košice	Katkin park 2	3	1	0	0	2.7	45.6	—	3	4/5	3	45.6	—	—	3	45.6	—	—
681,015	70	Športové gymnázium	Košice	Trieda SNP 104	9	1	0	0	1.9	69.3	—	9	4/8	9	69.3	—	—	7	70	2	66.7
681,016	160	Gymnázium	Košice	Trebišovská 12	27	1	0	0	1.9	51.5	22.1	24	4/5/2008	27	51.5	—	—	7	49.5	3	63.3
681,017	179	Gymnázium	Košice	Park mládeže 5	34	0	0	0	2.3	53.5	27	31	4/5	34	53.5	—	—	27	51.2	—	—
681,018	12	Spojená škola - Gymnázium sv. Košických mučeníkov	Košice	Čordákova 50	4	1	0	0	2.3	60.8	—	4	4	4	60.8	—	—	4	60.8	—	—
681,022	138	Gymnázium sv. Edity Steinovej	Košice	Charkovská 1	22	0	0	0	1.8	75.2	95.1	22	5	22	75.2	—	—	—	—	—	—
681,025	99	Gymnázium	Košice	Alejová 1	46	1	0	0	1.8	66.7	68.9	45	4/8	46	66.7	—	—	23	59.4	23	73.9
681,026	20	Súkromné gymnázium	Košice	Dneperská 1	9	0	0	0	1.7	54.1	—	9	4/8	9	54.1	—	—	1	53.3	8	54.2
681,027	115	Evanjelické gymnázium Jána Ámosa Komenského	Košice	Škultétyho 10	46	2	0	0	2.1	65.2	62.3	45	5/8	46	65.2	—	—	—	—	11	65.8
681,028	85	Gymnázium	Košice	Opatovská cesta 7	11	1	0	0	2.5	52.4	—	10	4/5	11	52.4	—	—	6	50.6	—	—
681,032	19	Gymnázium Štefana Moysesa	Moldava nad Bodvou	Školská 13	4	0	0	0	1.8	80	—	4	8	4	80	—	—	—	—	4	80
681,035	209	Gymnázium Pavla Horova	Michalovce	Masarykova 1	49	0	0	0	1.9	67	72.1	48	4	49	67	—	—	49	67	—	—
681,036	102	Gymnázium	Michalovce	Ľ. Štúra 26	20	0	0	0	2	57.7	32.8	19	4/8	20	57.7	—	—	17	55.5	3	70
681,037	36	Gymnázium - Gimnázium	Veľké Kapušany	Zoltána Fábryho 1	6	0	0	0	2.2	60.6	—	6	4	6	60.6	—	—	6	60.6	—	—
681,041	77	Gymnázium P. J. Šafárika - P. J. Šafárik Gimnázium	Rožňava	Ul. akademika Hronca 1	15	0	0	0	—	70.7	—	15	4/5/2008	15	70.7	—	—	11	71.2	4	69.2
681,044	69	Gymnázium	Sobrance	Kpt. Nálepku 6	12	0	0	0	1.3	63.9	—	11	4/8	12	63.9	—	—	6	62.8	6	65
681,047	36	Gymnázium	Krompachy	Lorencova 46	14	0	0	0	2.5	59.8	—	14	4	14	59.8	—	—	14	59.8	—	—
681,048	115	Gymnázium	Spišská Nová Ves	Javorová 16	18	0	0	0	—	76.7	97.5	18	4/5/2008	18	76.7	—	—	—	—	13	80
681,049	117	Gymnázium	Spišská Nová Ves	Školská 7	40	0	0	0	1.8	59.8	41.8	39	4	40	59.8	—	—	40	59.8	—	—
681,050	15	Cirkevné gymnázium Štefana Mišíka	Spišská Nová Ves	Radničné námestie 271/8	3	0	0	0	2	50	—	2	4	3	50	—	—	3	50	—	—
681,054	86	Gymnázium - Gimnázium	Kráľovský Chlmec	Horešská 18	18	0	0	0	2.1	59.1	38.5	18	4/8	18	59.1	—	—	11	60.3	7	57.1
681,055	26	Spojená škola - Gymnázium	Sečovce	Kollárova 17	7	0	0	0	1.7	44.3	—	6	4	7	44.3	—	—	7	44.3	—	—
681,056	93	Gymnázium	Trebišov	Komenského 32	23	0	0	0	—	72.8	91	23	4/5	23	72.8	—	—	20	74.3	—	—
681,057	44	Cirkevné gymnázium sv. Jána Krstiteľa	Trebišov	M. R. Štefánika 9	16	0	0	0	—	58.8	37.7	16	4	16	58.8	—	—	16	58.8	—	—
681,058	30	Súkromné gymnázium FUTURUM	Košice	Grešákova 1	2	0	0	0	2	43.3	—	1	5	2	43.3	—	—	—	—	—	—
681,059	29	Premonštrátske gymnázium	Košice	Kováčska 28	8	0	0	0	1.9	47.1	—	6	4	8	47.1	—	—	8	47.1	—	—
683,003	23	Stredná odborná škola Jozefa Szakkayho - Szakkay József Szakközépiskola	Košice	Grešákova 1	1	—	—	—	—	—	—	1	4	1	—	—	—	—	—	—	—
683,007	70	Stredná odborná škola	Košice	Učňovská 5	9	0	0	0	—	18.1	—	—	4	9	18.1	—	—	—	—	—	—
683,010	74	Súkromná stredná odborná škola	Košice	Postupimská 37	1	—	—	—	—	—	—	—	4/5	1	—	—	—	—	—	—	—
683,018	184	Stredná odborná škola	Košice	Ostrovského 1	9	0	0	0	2.6	28.9	—	3	4	9	28.9	—	—	—	—	—	—
683,031	68	Stredná odborná škola technická	Rožňava	Hviezdoslavova 5	5	0	0	0	1.4	33.3	—	3	2/4	5	33.3	—	—	—	—	—	—
683,205	93	Stredná priemyselná škola strojnícka	Košice	Komenského 2	9	1	0	0	2.2	26.3	—	2	4	9	26.3	—	—	—	—	—	—
683,209	116	Technická akadémia	Spišská Nová Ves	Hviezdoslavova 6	24	1	0	0	2.6	46.4	18	22	4	24	46.4	—	—	—	—	—	—
684,102	88	Stredná priemyselná škola stavebná a geodetická	Košice	Lermontovova 1	7	0	0	0	1.3	48.6	—	6	4	7	48.6	—	—	—	—	—	—
686,103	150	Obchodná akadémia	Košice	Watsonova 61	33	2	0	0	—	28.9	4.9	13	4/5	33	28.9	—	—	—	—	—	—
686,117	75	Obchodná akadémia	Michalovce	Kapušianska 2	12	0	0	0	1.4	39.7	—	10	4	12	39.7	—	—	—	—	—	—
686,120	71	Obchodná akadémia	Rožňava	Akademika Hronca 8	8	0	0	0	—	47.5	—	7	4/5	8	47.5	—	—	—	—	—	—
686,127	44	Obchodná akadémia	Trebišov	Komenského 3425/18	16	0	0	0	2	24.2	1.6	6	4	16	24.2	—	—	—	—	—	—
686,213	71	Stredná odborná škola ekonomická	Spišská Nová Ves	Stojan 1	10	0	0	0	1.6	31.7	—	5	4	10	31.7	—	—	—	—	—	—
688,129	104	Stredná odborná škola technická	Košice	Kukučínova 23	5	0	0	0	1.4	18.7	—	—	2/4	5	18.7	—	—	—	—	—	—
688,132	187	Stredná odborná škola technická	Michalovce	Partizánska 1	18	1	0	0	2.4	28	4.1	8	2/3/2004	18	28	—	—	—	—	—	—
688,303	169	Stredná priemyselná škola elektrotechnická	Košice	Komenského 44	21	3	0	0	1.7	45.2	17.2	15	4	21	45.2	—	—	—	—	—	—
688,403	106	Stredná priemyselná škola dopravná	Košice	Hlavná 113	5	0	0	0	1	24	—	1	4	5	24	—	—	—	—	—	—
