skola	nazov	mesto	ulica	N	znamka
616105	Súkromná obchodná akadémia Profi-Kamo	Bratislava	Dudvážska 6	4	3.3
616106	Spojená škola - Obchodná akadémia pre žiakov s TP	Bratislava	Mokrohájska 3	4	3
616108	Obchodná akadémia	Pezinok	Myslenická 1	50	2.9
616109	Súkromná obchodná akadémia	Bratislava	Kremnická 26	49	3.8
616113	Súkromná obchodná akadémia	Plavecký Štvrtok	č. 351	7	2.4
616301	Stredná odborná škola podnikania	Bratislava	Strečnianska 20	34	3.6
616401	Stredná odborná škola obchodu a služieb S. Jurkoviča	Bratislava	Sklenárova 1	36	3.7
616501	Stredná odborná škola hotelových služieb a obchodu	Bratislava	Na Pántoch 9	71	3.1
617101	Pedagogická a kultúrna akadémia	Modra	Sokolská 6	46	2.5
617201	Pedagogická a sociálna akadémia	Bratislava	Bullova 2	45	2.8
617202	Súkromná pedagogická a sociálna akadémia	Bratislava	Ružová dolina 29	16	2.5
618301	Stredná odborná škola elektrotechnická	Bratislava	Rybničná 59	34	4
618302	CSOŠE P. G. Frassatiho	Bratislava	Vazovova 12	40	3.6
618303	Stredná priemyselná škola elektrotechnická	Bratislava	Zochova 9	83	3.4
618304	Stredná priemyselná škola elektrotechnická	Bratislava	K. Adlera 5	108	2.6
618305	Stredná priemyselná škola elektrotechnická	Bratislava	Hálova 16	78	3.7
618401	Stredná odborná škola dopravná	Bratislava	Kvačalova 20	40	3.4
618402	Stredná priemyselná škola dopravná	Bratislava	Kvačalova 20	59	2.8
618801	Súkromná stredná odborná škola automobilová Duálna akadémia	Bratislava	Jána Jonáša 5	22	2.9
621001	Gymnázium Ladislava Dúbravu	Dunajská Streda	Smetanov háj 285/8	30	1.9
621003	Gymnázium M. R. Štefánika	Šamorín	Slnečná 2	37	1.7
621006	Gymnázium Janka Matúšku	Galanta	Štvrť SNP 1004/34	62	1.8
621008	Gymnázium Vojtecha Mihálika	Sereď	Kostolná 119/8	62	1.8
621009	Gymnázium Ivana Kupca	Hlohovec	Komenského 13	54	2
621010	Gymnázium Pierra de Coubertina	Piešťany	Námestie SNP 9	129	2.1
621012	Gymnázium Ladislava Novomeského	Senica	Dlhá 1037/12	97	1.9
621014	Gymnázium F. V. Sasinka	Skalica	Námestie Slobody 3	98	1.8
621015	Gymnázium Jána Hollého	Trnava	Na Hlinách 30	114	2.3
621016	Gymnázium Angely Merici	Trnava	Hviezdoslavova 10	78	1.7
621017	Športové gymnázium Jozefa Herdu	Trnava	Bottova 31	108	2.5
621018	Súkromné bilingválne gymnázium	Galanta	Hodská 10	24	2.9
621019	Gymnázium Jána Baltazára Magina	Vrbové	Beňovského 358/100	70	1.7
621020	Arcibiskupské gymnázium biskupa P. Jantauscha	Trnava	Kalinčiakova 24	21	2.4
621023	Súkromné bilingválne gymnázium BESST	Trnava	Limbová 3	11	2.4
621501	Stredná zdravotnícka škola - Egészségügyi Középiskola	Dunajská Streda	Športová 349/34	22	—
621502	Stredná zdravotnícka škola	Skalica	Lichardova 1	35	2.3
621503	Stredná zdravotnícka škola	Trnava	Daxnerova 6	112	2.5
623001	Stredná odborná škola Jozefa Čabelku	Holíč	Bernolákova 383/10	57	2.6
623002	Súkromná stredná odborná škola Via Humana	Skalica	Mallého 2	73	3
623003	Súkromná stredná odborná škola - Magán Szakközépiskola	Sládkovičovo	Fučíkova 426	28	3.6
623006	Stredná odborná škola	Rakovice	Hlavná 25	26	3.2
623007	Súkromná stredná odborná škola SD Jednota	Šamorín	Vinohradská 48	29	3.4
623009	Súkromná stredná odborná škola	Zlaté Klasy	Trhovisko 776/1	13	3.4
623012	Stredná odborná škola	Senica	V. Paulínyho Tótha 31/5	20	3.5
623013	Súkromná stredná odborná škola Gos-Sk	Trnava	Ferka Urbánka 19	90	3.5
623014	Stredná odborná škola	Holíč	Námestie sv. Martina 5	92	3.3
623015	Stredná odborná škola	Hlohovec	Nerudová 13	51	2.8
623201	Stredná odborná škola strojnícka	Skalica	pplk. Pľjušťa 29	38	3.3
624001	Stredná priemyselná škola stavebná D. S. Jurkoviča	Trnava	Lomonosovova 7	78	2.6
624501	Stredná priemyselná škola	Trnava	Komenského 1	153	2.9
625101	Stredná odborná škola poľnohospodárstva a služieb na vidieku	Trnava	Zavarská 9	35	2.5
625401	Stredná odborná škola záhradnícka	Piešťany	Brezová 2	8	3.4
626001	Hotelová akadémia Ľudovíta Wintera	Piešťany	Stromová 34	92	2.5
626002	Súkromná hotelová akadémia SD Jednota	Šamorín	Vinohradská 48	36	3.2
626101	Obchodná akadémia - Kereskedelmi Akadémia	Veľký Meder	Bratislavská 38	17	1.8
626102	Obchodná akadémia	Sereď	Mládežnícka 158/5	33	2.5
626103	Obchodná akadémia	Hlohovec	Tehelná 4	36	2.3
626104	Obchodná akadémia	Senica	Dlhá 256	79	2.6
626105	Obchodná akadémia	Trnava	Kukučínova 2	114	1.8
626301	Súkromná stredná odborná škola podnikania	Senica	Hollého 1380/34	90	2.7
626401	Stredná odborná škola obchodu a služieb	Galanta	Z. Kodálya 765	74	3
626402	Stredná odborná škola obchodu a služieb	Piešťany	Mojmírova 99/28	55	3.8
626403	Stredná odborná škola obchodu a služieb	Trnava	Lomonosovova 2797/6	55	3
627201	Pedagogická a sociálna akadémia bl. Laury	Trnava	Kalinčiakova 24	79	3
628101	Stredná odborná škola technická - Müszaki Szakközépiskola	Dunajská Streda	Kračanská 1240/36	9	3
628102	Stredná odborná škola technická	Hlohovec	F. Lipku 2422/5	23	3.7
628103	Stredná odborná škola technická	Piešťany	Nová 5245/9	24	3.7
628104	Stredná odborná škola technická - Műszaki Szakközépiskola	Galanta	Esterházyovcov 712/10	56	3.3
628201	Súkromná stredná odborná škola polytechnická DSA	Trnava	Koniarekova 17	12	3
628301	Stredná priemyselná škola elektrotechnická	Piešťany	Brezová 2	105	2.5
628304	Stredná odborná škola elektrotechnická	Gbely	Učňovská 700/6	42	3.5
628305	Stredná odborná škola elektrotechnická	Trnava	Sibírska 1	173	2.9
628401	Stredná priemyselná škola dopravná	Trnava	Študentská 23	104	3
628801	Stredná odborná škola automobilová	Trnava	Coburgova 7859/39	47	3.3
631001	Gymnázium Janka Jesenského	Bánovce nad Bebravou	Radlinského 665/2	71	1.6
631002	Gymnázium	Dubnica nad Váhom	Školská 2	79	1.8
631003	Spojená škola sv. J. Bosca - Gymnázium	Nová Dubnica	Trenčianska 66/28	22	3
631004	Gymnázium	Myjava	Jablonská 5/301	86	1.4
631005	Gymnázium M. R. Štefánika	Nové Mesto nad Váhom	Športová 41	80	1.7
631006	Gymnázium sv. Jozefa	Nové Mesto nad Váhom	Klčové 87	20	1.4
631007	Bilingválne slovensko-španielske gymnázium	Nové Mesto nad Váhom	Štúrova ulica 2590/31	20	1.9
631008	Gymnázium	Partizánske	Komenského 2/1074	80	2.2
631009	Gymnázium	Považská Bystrica	Školská 234/8	131	1.9
631010	Súkromné gymnázium	Považská Bystrica	M. R. Štefánika 147	1	—
631011	Gymnázium I. Bellu	Handlová	Lipová 15	29	2.2
631012	Spojená škola - Gymnázium	Nováky	Rastislavova 332	23	1.7
631013	Gymnázium V. B. Nedožerského	Prievidza	Matice slovenskej 16	198	2.1
631014	Piaristická spojená škola F. Hanáka - Gymnázium	Prievidza	A. Hlinku 44	39	2.1
631015	Gymnázium	Púchov	1. mája 905	76	1.8
631016	Gymnázium Ľ. Štúra	Trenčín	1. mája 2	180	1.7
631017	Športové gymnázium	Trenčín	Staničná 6	45	3.2
631018	Piaristické gymnázium J. Braneckého	Trenčín	Palackého 4	85	2.1
631019	Súkromné športové gymnázium	Trenčianske Teplice	SNP 6	13	3.5
631020	Súkromné gymnázium FUTURUM	Trenčín	Kožušnícka 2	44	2
631501	Stredná zdravotnícka škola	Považská Bystrica	Školská 230	57	2.5
631502	Stredná zdravotnícka škola Celestíny Šimurkovej	Trenčín	Veľkomoravská 14	115	2.7
632501	Stredná umelecká škola	Trenčín	Staničná 8	115	2.7
633001	Stredná odborná škola strojnícka	Bánovce nad Bebravou	Partizánska cesta 76	106	3
633003	Stredná odborná škola	Pruské	č. 294	32	2.9
633004	Stredná odborná škola	Dubnica nad Váhom	Bratislavská 439/18	75	4
633009	Stredná odborná škola	Stará Turá	Športová 675/1	72	3.2
633011	Stredná odborná škola	Partizánske	Námestie SNP 5	92	3.4
633012	Stredná odborná škola	Považská Bystrica	Slovenských partizánov 1129/49	40	3.8
633013	Súkromná stredná odborná škola	Prievidza	S. Chalupku 1938/12B	23	2.4
633014	Stredná odborná škola	Prievidza	T. Vansovej 32	94	3.5
633015	Stredná odborná škola	Handlová	Lipová 8	109	3.4
633016	Spojená škola - Stredná odborná škola	Nováky	Rastislavova 332	73	2.9
633018	Stredná odborná škola	Púchov	I. Krasku 491	78	3.3
633020	Súkromná stredná odborná škola	Trenčín	M. R. Štefánika 379/19	27	3
633021	Stredná odborná škola	Trenčín	Pod Sokolicami 14	47	3.3
633022	Piaristická spojená škola F. Hanáka - Stredná odborná škola	Prievidza	A. Hlinku 44	17	3.1
633023	Spojená škola sv. J. Bosca - Stredná odborná škola	Nová Dubnica	Trenčianska 66/28	5	3.6
633201	Stredná odborná škola strojnícka	Považská Bystrica	Športovcov 341/2	130	3.4
634001	Stredná odborná škola stavebná Emila Belluša	Trenčín	Staničná 4	54	2.6
634220	Stredná odborná škola sklárska	Lednické Rovne	Súhradka 193	5	2.4
634501	Stredná priemyselná škola	Dubnica nad Váhom	Obr. mieru 343/1	145	2.4
634502	Stredná priemyselná škola	Myjava	Ul. SNP 413/8	96	3
634504	Stredná priemyselná škola	Považská Bystrica	Slovenských partizánov 1132/52	64	3.1
634505	Stredná priemyselná škola	Nové Mesto nad Váhom	Bzinská 11	77	2.7
636002	Súkromná hotelová akadémia	Považská Bystrica	M. R. Štefánika 147	3	2.3
636103	Obchodná akadémia	Považská Bystrica	Jesenského 259/6	120	2.4
636104	Súkromná obchodná akadémia	Považská Bystrica	M. R. Štefánika 147	5	3
636105	Obchodná akadémia	Prievidza	F. Madvu 2	92	2.6
636106	Obchodná akadémia Milana Hodžu	Trenčín	M. Rázusa 1	115	2.1
636107	Súkromná obchodná akadémia	Prievidza	Bakalárska 2	11	3.5
636401	Stredná odborná škola obchodu a služieb	Prievidza	J. Kalinčiaka 1	134	3
636402	Stredná odborná škola obchodu a služieb	Púchov	1. mája 1264	95	2.9
636403	Stredná odborná škola obchodu a služieb	Trenčín	Jilemnického 24	179	3.4
636404	Stredná odborná škola obchodu a služieb	Nové Mesto nad Váhom	Weisseho 1	72	3
637201	Pedagogická a sociálna akadémia sv. Andreja - Svorada	Trenčín	1. mája 7	56	1.7
638001	Dopravná akadémia	Trenčín	Školská 66	60	3.2
638601	Stredná odborná škola letecko - technická	Trenčín	Legionárska 160	67	2.7
641001	Gymnázium Ľudovíta Jaroslava Šuleka	Komárno	Pohraničná 10	75	1.7
641003	Gymnázium Andreja Vrábla	Levice	Mierová 5	146	2
641004	Gymnázium	Šahy	Mládežnícka 22	13	2
641006	Gymnázium	Želiezovce	Štúrova 16	22	1.6
641008	Gymnázium	Nitra	Golianova 68	138	1.6
641009	Gymnázium	Nitra	Parovská 1	183	2.3
641010	Spojená katolícka škola - Gymnázium sv. Cyrila a Metoda	Nitra	Farská 19	74	1.7
641011	Piaristická spojená škola sv. Jozefa Kalazanského - Piaristické gymnázium sv. Jozefa Kalazanského	Nitra	Piaristická 6	88	2.1
641012	Gymnázium	Vráble	Školská 1232/26	58	2.2
641013	Gymnázium	Nové Zámky	M. R. Štefánika 16	107	1.5
641014	Gymnázium - Gimnázium	Štúrovo	Adyho 7	12	2.4
641015	Gymnázium	Šurany	Bernolákova 37	64	1.9
641016	Gymnázium Juraja Fándlyho	Šaľa	Školská 3	63	2
641017	Gymnázium	Topoľčany	Ul. 17. novembra 1180/16	128	1.9
641018	Gymnázium sv. Vincenta de Paul	Topoľčany	Ul. 17. novembra 1056	18	2.2
641019	Gymnázium Janka Kráľa	Zlaté Moravce	SNP 3	52	2.5
641022	Spojená škola - Športové gymnázium	Nitra	Slančíkovej 2	97	2.4
641024	Katolícka spojená škola sv. Vincenta de Paul - Gymnázium sv. Vincenta de Paul	Levice	Saratovská 87	34	2.4
641025	Súkromné gymnázium	Topoľčany	Gagarinova 1	5	2.4
641501	Stredná zdravotnícka škola	Nitra	Farská 23	92	1.7
641502	Stredná zdravotnícka škola - Egészségügyi Középiskola	Nové Zámky	Pod kalváriou 1	53	2.2
641503	Stredná zdravotnícka škola sv. Vincenta de Paul	Topoľčany	17. novembra 1056	51	3.3
642001	Súkromné konzervatórium Dezidera Kardoša	Topoľčany	Gagarinova 2490/13	17	2.8
642002	Súkromné konzervatórium	Nitra	Krčméryho 2	19	2.2
642401	Súkromná škola úžitkového výtvarníctva	Topoľčany	Gagarinova 2490/13	8	2.1
642402	Cirkevná škola úžitkového výtvarníctva sv. Lukáša	Topoľčany	Lipova 3868/10	10	2.1
642501	Súkromná stredná umelecká škola dizajnu	Nitra	Škultétyho 1	24	3
642502	Stredná umelecká škola Ladislava Bielika	Levice	Vajanského 23	40	3.7
643001	Súkromná stredná odborná škola pedagogická	Topoľčany	Tovarnícka 1641	40	2.6
643002	Súkromná stredná odborná škola ANIMUS	Nitra	Levická cesta 40	61	2.2
643008	Stredná odborná škola	Nitra	Cintorínska 4	72	2.9
643009	Stredná odborná škola dopravy a služieb	Nové Zámky	Jesenského 1	85	2.8
643011	Stredná odborná škola - Szakközépiskola	Dvory nad Žitavou	Hlavné námestie 2	3	4.7
643012	Stredná odborná škola techniky a služieb	Topoľčany	Tovarnícka 1609	50	3.5
643014	Stredná odborná škola agrotechnická	Topoľčany	Tovarnícka 1632	42	—
643016	Stredná odborná škola služieb	Levice	Ul. sv. Michala 36	46	2.7
643020	Stredná odborná škola - Szakközépiskola	Šahy	SNP 41	12	3.1
643022	Stredná odborná škola gastronómie a služieb	Šurany	Hviezdoslavova 55	32	2.2
643023	Stredná odborná škola technická - Műszaki Szakközépiskola	Komárno	Bratislavská 10	20	3
643024	Stredná odborná škola	Kalná nad Hronom	Ul. mieru 23	22	3.7
643025	Stredná odborná škola	Levice	Pod amfiteátrom 7	25	3
643031	Stredná odborná škola stavebná	Nitra	Nábrežie mládeže 1	20	3.4
643032	Stredná odborná škola gastronómie a cestovného ruchu	Nitra	Levická 40	83	3
643034	Stredná odborná škola stavebná	Nové Zámky	Nitrianska cesta 61	45	2.8
643039	Stredná odborná škola techniky a mechanizácie – Műszaki és Gépesítési Szakközépiskola	Hurbanovo	Ul. 1. mája 1	7	3
643040	Stredná odborná škola - Szakközépiskola	Šaľa	Štúrova 74	12	2.9
643401	Stredná odborná škola potravinárska	Nitra	Cabajská 6	63	3.7
643402	Stredná odborná škola potravinárska	Topoľčany	Krušovská 2091	18	2.8
643701	Stredná odborná škola drevárska	Topoľčany	Pílska 7	46	3.3
644001	Stredná priemyselná škola stavebná - Építőipari Szakközépiskola	Hurbanovo	Konkolyho 8	21	3
644002	Stredná priemyselná škola stavebná	Nitra	Cabajská 4	119	2.6
644501	Stredná priemyselná škola	Komárno	Petöfiho 2	26	3
644502	Stredná priemyselná škola	Levice	Fr. Hečku 25	63	3.1
644503	Stredná priemyselná škola strojnícka a elektrotechnická	Nitra	Fr. Kráľa 20	102	2.8
644504	Spojená škola - Stredná priemyselná škola	Šaľa	Nivy 2	31	3.3
644601	Spojená škola - Stredná priemyselná škola potravinárska	Nitra	Slančíkovej 2	35	2.5
645101	Stredná odborná škola poľnohospodárstva a služieb na vidieku	Levice	Na lúkach 18	38	3.3
645701	Stredná odborná škola veterinárna	Nitra	Drážovská 14	114	2.7
646001	Spojená škola - Hotelová akadémia	Nitra	Slančíkovej 2	92	2.1
646101	Obchodná akadémia	Levice	Ul. Kálmána Kittenbergera 2	52	2.6
646102	Obchodná akadémia	Nitra	Bolečkova 2	109	2.8
646103	Súkromná spojená škola - Súkromná obchodná akadémia - Kereskedelmi Magánakadémia	Štúrovo	Sv. Štefana 36	34	2.4
646104	Obchodná akadémia	Šurany	Námestie hrdinov 7	51	2.6
646105	Obchodná akadémia	Topoľčany	Inovecká 2041	56	2.6
646106	Obchodná akadémia	Zlaté Moravce	Bernolákova 26	60	2.4
646108	Spojená škola - Obchodná akadémia	Šaľa	Nivy 2	16	2.6
646402	Stredná odborná škola obchodu a služieb	Topoľčany	T. Vansovej 2	57	2.7
646403	Stredná odborná škola obchodu a služieb	Zlaté Moravce	SNP 5	49	2.8
646404	Stredná odborná škola obchodu a služieb - Kereskedelmi és Szolgáltatóipari Szakközépiskola	Komárno	Budovateľská 32	22	3.1
646501	Stredná odborná škola hotelových služieb a obchodu	Nové Zámky	Zdravotnícka 3	115	3
647201	Stredná odborná škola pedagogická	Levice	Ul. F. Engelsa 3	70	2.7
648101	Stredná odborná škola technická	Tlmače	Kozmálovská cesta 9	38	2.9
648102	Stredná odborná škola technická	Šurany	Nitrianska 61	93	3.1
648103	Stredná odborná škola technická	Zlaté Moravce	Ul. 1. mája 22	51	3.3
648104	Stredná odborná škola technická	Vráble	Ul. 1. mája 500	19	2.8
648201	Súkromná stredná odborná škola polytechnická DSA	Nitra	Novozámocká 220	94	3.2
648202	Stredná odborná škola polytechnická	Zlaté Moravce	SNP 2	93	3
648301	Spojená škola - Stredná priemyselná škola elektrotechnická S. A. Jedlika	Nové Zámky	Komárňanská 28	103	2.8
651001	Gymnázium	Bytča	Štefánikova 219/4	56	1.7
651002	Gymnázium Jozefa Miloslava Hurbana	Čadca	17. novembra 1296	152	2
651003	Gymnázium	Turzovka	Ľ. Štúra 35	38	2.1
651004	Gymnázium P. O. Hviezdoslava	Dolný Kubín	Hviezdoslavovo námestie 18	95	1.8
651006	Cirkevné gymnázium Andreja Radlinského	Dolný Kubín	Okružná 2062/25	17	2.4
651007	Gymnázium	Kysucké Nové Mesto	Jesenského 2243	61	1.8
651008	Gymnázium	Liptovský Hrádok	Hradná 497/23	38	1.7
651009	Gymnázium Michala Miloslava Hodžu	Liptovský Mikuláš	M. M. Hodžu 860/9	80	2.1
651010	Evanjelická spojená škola - Evanjelické gymnázium J. Tranovského	Liptovský Mikuláš	Komenského 10	100	1.5
651011	Gymnázium Jozefa Lettricha	Martin	Lettricha 2	56	1.7
651012	Gymnázium Viliama Paulinyho - Tótha	Martin	Malá hora 3	119	2.4
651013	Bilingválne gymnázium Milana Hodžu	Sučany	Komenského 215	95	1.7
651014	Spojená škola - Gymnázium J. C. Hronského	Vrútky	M. R. Štefánika 1	14	3
651015	Gymnázium Antona Bernoláka	Námestovo	Mieru 307/23	221	1.8
651016	Gymnázium	Ružomberok	Š. Moyzesa 21	81	1.7
651017	Gymnázium sv. Andreja	Ružomberok	Námestie A. Hlinku 5	87	2.4
651019	Spojená škola - Gymnázium M. Galandu	Turčianske Teplice	Horné Rakovce 1440/29	20	2.6
651020	Gymnázium Martina Hattalu	Trstená	Železničiarov 278	135	2.1
651021	Gymnázium	Tvrdošín	Školská 837	36	1.4
651022	Gymnázium	Rajec	Javorová 5	22	2.5
651023	Katolícka spojená škola	Rajec	Námestie A. Škrábika 5	12	1.8
651024	Gymnázium	Žilina	Hlinská 29	114	2.4
651025	Gymnázium	Žilina	Veľká okružná 22	148	1.8
651026	Gymnázium sv. Františka z Assisi	Žilina	J. M. Hurbana 44	57	1.9
651027	Gymnázium	Žilina	Varšavská cesta 1	53	1.9
651028	Gymnázium bilingválne	Žilina	T. Ružičku 3	83	2.1
651029	Spojená škola - Športové gymnázium	Žilina	Rosinská cesta 4	38	2.1
651030	Súkromné gymnázium	Žilina	Oravská 11	19	1.4
651031	Spojená škola KP - Gymnázium Kráľovnej pokoja	Žilina	Na Závaží 2	28	2.5
651032	Súkromné bilingválne gymnázium	Ružomberok	Bystrická cesta 174/5	10	2.1
651033	Evanjelická spojená škola - Evanjelické gymnázium	Martin	M. R. Štefánika 17	37	1.9
651501	Stredná zdravotnícka škola sv. Františka z Assisi	Čadca	Horná 137	32	3.1
651502	Stredná zdravotnícka škola	Dolný Kubín	M. Hattalu 2149	47	2.5
651503	Stredná zdravotnícka škola	Liptovský Mikuláš	Vrbická 632	55	2.7
651504	Stredná zdravotnícka škola M. T. Schererovej	Ružomberok	Dončova 7	43	3.1
651505	Stredná zdravotnícka škola	Žilina	Hlboká cesta 23	130	3.1
652001	Konzervatórium	Žilina	J. M. Hurbana 48	27	2.1
652002	Súkromná spojená škola - Súkromné hudobné a dramatické konzervatórium	Martin	J. Lettricha 3	15	1.9
652401	Škola úžitkového výtvarníctva	Ružomberok	Scota Viatora 6	49	2.6
